SISENSE_PRODUCT_ROLLUP_MAP,DIRECT_ECOMM_MAP,LOOKUP_MAP_UPPER,PROFORMA_LOOKUP_UPPER,SFDC_LOOKUP_UPPER,SFDC_OPEN_PIPE_LOOKUP_UPPER,DIRECT_INDIRECT,CORE_NONCORE,PBT_GROUP,AI,PRODUCT_FOR_REPORTING,PRODUCT_NAME,PRODUCT_PARENT,PRODUCT_NAME_GROUP,PRODUCT_HUB,PRODUCTGROUP,PRODUCT_FOR_REPORTING_NS,PRODUCT_FOR_REPORTING_GROUP_NS,PRODUCT_FOR_REPORTING_NS_ALIAS,PRODUCT_FOR_REPORTING_NS_ALIAS_COMBINED,PRODUCT_GROUP_MAP
AlertSite,Direct,ALERTSITE_DIRECT,ALERTSITE,ALERTSITE,ALERTSITE,Direct,Non-Core,Other,No,AlertSite,AlertSite,AlertSite,Other,Other,AlertSite,AlertSite,Other,AlertSite,AlertSite Direct,"Collab, Monitor & Other"
API Hub,Ecomm,API HUB_ECOMM,,API HUB,,Indirect - Ecomm,Core,Swagger,No,Swagger Ecomm,Swagger Ecomm,Swagger,API,API Hub,Swagger,Swagger,API Lifecycle,Swagger,Swagger Ecomm,API Lifecycle
API Hub,Direct,API HUB_DIRECT,,API HUB,API HUB,Direct,Core,Swagger,No,Swagger Direct,Swagger Direct,Swagger,API,API Hub,Swagger,Swagger,API Lifecycle,Swagger,Swagger Direct,API Lifecycle
API Hub Test,Ecomm,API HUB TEST_ECOMM,API HUB TEST_ECOMM,,,Indirect - Ecomm,Core,Swagger,No,Swagger Ecomm,Swagger Ecomm,Swagger,API,API Hub,Swagger,Swagger,API Lifecycle,Swagger,Swagger Ecomm,API Lifecycle
API Hub Test,Direct,API HUB TEST_DIRECT,API HUB TEST_DIRECT,,,Direct,Core,Swagger,No,API Hub Test Direct,API Hub Test,API Hub Test,API,API Hub,API Hub Test,API Hub Test,API Lifecycle,API Hub Test,API Hub Test Direct,API Lifecycle
AQTime,Direct,AQTIME_DIRECT,AQTIME,AQTIME,AQTIME,Direct,Non-Core,Other,No,AQTime,AQTime,AQTime,Other,Other,AQTime,AQTime,Other,AQTime,AQTime Direct,"Collab, Monitor & Other"
Aspecto,Direct,ASPECTO_DIRECT,ASPECTO,,ASPECTO,Direct,Core,BugSnag,No,Aspecto,Aspecto,Aspecto,Observability,BugSnag,Aspecto,Aspecto,BugSnag,Aspecto,Aspecto Direct,BugSnag
BearQ,Direct,BEARQ_DIRECT,,BEARQ,BEARQ,Direct,Core,BearQ,AI Native,BearQ,BearQ,BearQ,BearQ,BearQ,BearQ,BearQ,BearQ,BearQ,BearQ,BearQ
BearQ,Ecomm,BEARQ_ECOMM,,,,Indirect - Ecomm,Core,BearQ,AI Native,BearQ,BearQ,BearQ,BearQ,BearQ,BearQ,BearQ,BearQ,BearQ,BearQ,BearQ
BitBar,Direct,BITBAR_DIRECT,BITBAR,BITBAR,BITBAR,Direct,Non-Core,Other,No,BitBar,BitBar,BitBar,Test,Test Hub,BitBar,BitBar,Functional Test,BitBar,BitBar Direct,Functional Test
BitBar,Ecomm,BITBAR_ECOMM,BITBAR,,,Indirect - Ecomm,Non-Core,Other,No,BitBar,Device Cloud,BitBar,Test,Other,BitBar,BitBar,Functional Test,Device Cloud,Device Cloud Ecomm,Functional Test
BugSnag,Direct,BUGSNAG_DIRECT,BUGSNAG DIRECT,BUGSNAG,BUGSNAG,Direct,Core,BugSnag,No,BugSnag Direct,BugSnag Direct,BugSnag,Observability,BugSnag,BugSnag,BugSnag,BugSnag,BugSnag,BugSnag Direct,BugSnag
BugSnag,Ecomm,BUGSNAG_ECOMM,BUGSNAG ECOMM,,BUGSNAG,Indirect - Ecomm,Core,BugSnag,No,BugSnag Ecomm,BugSnag Ecomm,BugSnag,Observability,BugSnag,BugSnag,BugSnag,BugSnag,BugSnag,BugSnag Ecomm,BugSnag
BugSnag Direct,Direct,BUGSNAG DIRECT_DIRECT,,,,Direct,Core,BugSnag,No,BugSnag Direct,BugSnag Direct,BugSnag,Observability,BugSnag,BugSnag,BugSnag,BugSnag,BugSnag,BugSnag Direct,BugSnag
BugSnag Ecomm,Ecomm,BUGSNAG ECOMM_ECOMM,,,,Indirect - Ecomm,Core,BugSnag,No,BugSnag Ecomm,BugSnag Ecomm,BugSnag,Observability,BugSnag,BugSnag,BugSnag,BugSnag,BugSnag,BugSnag Ecomm,BugSnag
BugSnag RUM,Direct,BUGSNAG RUM_DIRECT,BUGSNAG RUM,,,Direct,Core,BugSnag,No,BugSnag RUM,BugSnag RUM,BugSnag RUM,Observability,BugSnag,BugSnag RUM,BugSnag RUM,BugSnag,BugSnag RUM,BugSnag RUM Direct,BugSnag RUM
BugSnag RUM,Ecomm,BUGSNAG RUM_ECOMM,BUGSNAG RUM,,,Indirect - Ecomm,Core,BugSnag,No,BugSnag Ecomm,BugSnag Ecomm,BugSnag,Observability,BugSnag,BugSnag,BugSnag,BugSnag,BugSnag,BugSnag Ecomm,BugSnag RUM
Capture,Ecomm,CAPTURE_ECOMM,CAPTURE,,CAPTURE,Indirect - Atlassian,Core,Atlassian,No,Capture,Capture,Capture,Marketplace,Test Management,Capture,Capture,Other,Capture,Capture Ecomm,"Collab, Monitor & Other"
CBT,Direct,CBT_DIRECT,CBT,CBT,CBT,Direct,Non-Core,Other,No,CBT Sales Assisted,CBT Sales Assisted,CBT,Test,Other,CBT,CBT,Functional Test,CBT,CBT Direct,Functional Test
CBT,Ecomm,CBT_ECOMM,CBT,,,Indirect - Ecomm,Non-Core,Other,No,Device Cloud,Device Cloud,CBT,Test,Other,CBT,CBT,Functional Test,Device Cloud,Device Cloud Ecomm,Functional Test
Collaborator,Direct,COLLABORATOR_DIRECT,COLLABORATOR,COLLABORATOR,COLLABORATOR,Direct,Non-Core,Other,No,Collaborator,Collaborator,Collaborator,Other,Other,Collaborator,Collaborator,Other,Collaborator,Collaborator Direct,"Collab, Monitor & Other"
Contract Testing,Ecomm,CONTRACT TESTING_ECOMM,ECOMM_CONTRACT TESTING_ECOMM,,,Indirect - Ecomm,Core,Swagger,No,Pactflow,Pactflow,Pactflow,API,API Hub,Pactflow,Pactflow,API Lifecycle,Pactflow,Pactflow Ecomm,"Collab, Monitor & Other"
Contract Testing,Direct,CONTRACT TESTING_DIRECT,DIRECT_CONTRACT TESTING_DIRECT,,,Direct,Core,Swagger,No,Pactflow,Pactflow,Pactflow,API,API Hub,Pactflow,Pactflow,API Lifecycle,Pactflow,Pactflow Direct,"Collab, Monitor & Other"
Cucumber,Ecomm,CUCUMBER_ECOMM,CUCUMBER FOR JIRA,,CUCUMBER FOR JIRA,Indirect - Atlassian,Non-Core,Atlassian,No,Cucumber for Jira,Cucumber for Jira,Cucumber,Marketplace,Test Management,Cucumber,Cucumber for Jira,Other,Cucumber for Jira,Cucumber for Jira Ecomm,"Collab, Monitor & Other"
Cucumber for Jira,Ecomm,CUCUMBER FOR JIRA_ECOMM,,,,Indirect - Atlassian,Non-Core,Atlassian,No,Cucumber for Jira,Cucumber for Jira,Cucumber,Marketplace,Test Management,Cucumber,Cucumber for Jira,Other,Cucumber for Jira,Cucumber for Jira Ecomm,"Collab, Monitor & Other"
CucumberStudio,Direct,CUCUMBERSTUDIO_DIRECT,CUCUMBERSTUDIO,CUCUMBERSTUDIO,CUCUMBERSTUDIO,Direct,Non-Core,Other,No,CucumberStudio,CucumberStudio,CucumberStudio,Other,Other,CucmberStudio,CucumberStudio,Test Management,CucumberStudio,CucumberStudio Direct,"Collab, Monitor & Other"
Device Cloud,Ecomm,DEVICE CLOUD_ECOMM,CBT,,DEVICE CLOUD,Indirect - Ecomm,Non-Core,Other,No,Device Cloud,Device Cloud,CBT,Test,Other,CBT,CBT,Functional Test,Device Cloud,Device Cloud Ecomm,Functional Test
Explore,Direct,EXPLORE_DIRECT,EXPLORE,,EXPLORE,Direct,Core,Swagger,No,Portal Direct,Portal,Portal,API,API Hub,Portal,Portal,API Lifecycle,Portal,Portal Direct,API Lifecycle
Hiptest,Direct,HIPTEST_DIRECT,CUCUMBERSTUDIO,,,Direct,Non-Core,Other,No,CucumberStudio,CucumberStudio,CucumberStudio,Other,Other,CucmberStudio,CucumberStudio,Test Management,CucumberStudio,CucumberStudio Direct,API Lifecycle
LoadComplete,Direct,LOADCOMPLETE_DIRECT,LOADCOMPLETE,LOADCOMPLETE,LOADCOMPLETE,Direct,Non-Core,Other,No,LoadComplete,LoadComplete,LoadComplete,Other,Other,LoadComplete,LoadComplete,Other,LoadComplete,LoadComplete Direct,"Collab, Monitor & Other"
LoadNinja,Direct,LOADNINJA_DIRECT,LOADNINJA,LOADNINJA,LOADNINJA,Direct,Non-Core,Other,No,LoadNinja,LoadNinja,LoadNinja,Test,Other,LoadNinja,LoadNinja,Functional Test,LoadNinja,LoadNinja Direct,Functional Test
LoadNinja,Ecomm,LOADNINJA_ECOMM,LOADNINJA,,,Indirect - Ecomm,Non-Core,Other,No,LoadNinja,LoadNinja,LoadNinja,Test,Other,LoadNinja,LoadNinja,Functional Test,LoadNinja,LoadNinja Ecomm,Functional Test
Pactflow,Direct,PACTFLOW_DIRECT,PACTFLOW,PACTFLOW,PACTFLOW,Direct,Core,Swagger,No,Pactflow,Pactflow,Pactflow,API,API Hub,Pactflow,Pactflow,API Lifecycle,Pactflow,Pactflow Direct,API Lifecycle
Pactflow,Ecomm,PACTFLOW_ECOMM,PACTFLOW,,,Indirect - Ecomm,Core,Swagger,No,Pactflow,Pactflow,Pactflow,API,API Hub,Pactflow,Pactflow,API Lifecycle,Pactflow,Pactflow Ecomm,API Lifecycle
Portal,Direct,PORTAL_DIRECT,PORTAL,SWAGGER PORTAL,PORTAL,Direct,Core,Swagger,No,Portal Direct,Portal,Portal,API,API Hub,Portal,Portal,API Lifecycle,Portal,Portal Direct,API Lifecycle
Portal,Ecomm,PORTAL_ECOMM,PORTAL,,,Indirect - Ecomm,Core,Swagger,No,Portal Ecomm,Portal,Portal,API,API Hub,Portal,Portal,API Lifecycle,Portal,Portal Ecomm,API Lifecycle
QAComplete,Direct,QACOMPLETE_DIRECT,QACOMPLETE,QACOMPLETE,QACOMPLETE,Direct,Non-Core,Other,No,QAComplete,QAComplete,QAComplete,Other,Other,QAComplete,QAComplete,Test Management,QAComplete,QAComplete Direct,Test Management
QTM,Direct,QTM_DIRECT,QTM,QMETRY,QMETRY,Direct,Core,Test Management,AI Enabled,QMetry,QTM,QTM,Test Hub,Test Hub,QTM,QTM,Test Management,QTM,QTM Direct,Test Management
QTM4J,Ecomm,QTM4J_ECOMM,QTM4J,,QTM4J,Indirect - Atlassian,Core,Atlassian,AI Enabled,QMetry for Jira,QTM4J,QTM4J,Test Hub,Test Hub,QTM4J,QTM4J,Test Management,QTM4J,QTM4J Ecomm,Test Management
RAPI Performance,Direct,RAPI PERFORMANCE_DIRECT,RAPI PERFORMANCE,READYAPI PERF,READYAPI PERF,Direct,Core,ReadyAPI,No,ReadyAPI Perf,ReadyAPI Perf,RAPI Performance,API,Ready API,ReadyAPI Performance,ReadyAPI Perf,API Lifecycle,ReadyAPI Perf,ReadyAPI Perf Direct,API Lifecycle
RAPI Test,Direct,RAPI TEST_DIRECT,RAPI TEST,READYAPI TEST,READYAPI TEST,Direct,Core,ReadyAPI,No,ReadyAPI Test,ReadyAPI Test,RAPI Test,API,Ready API,ReadyAPI Test,ReadyAPI Test,API Lifecycle,ReadyAPI Test,ReadyAPI Test Direct,API Lifecycle
RAPI Virtualization,Direct,RAPI VIRTUALIZATION_DIRECT,RAPI VIRTUALIZATION,READYAPI VIRT,READYAPI VIRT,Direct,Core,ReadyAPI,No,ReadyAPI Virt,ReadyAPI Virt,RAPI Virtualization,API,Ready API,ReadyAPI Virtualization,ReadyAPI Virt,API Lifecycle,ReadyAPI Virt,ReadyAPI Virt Direct,API Lifecycle
Reflect,Direct,REFLECT_DIRECT,REFLECT DIRECT,REFLECT,REFLECT,Direct,Core,Reflect,AI Native,Reflect Direct,Reflect Direct,Reflect,Test Hub,Test Hub,Reflect,Reflect,Test Management,Reflect,Reflect Direct,Test Management
Reflect,Ecomm,REFLECT_ECOMM,REFLECT ECOMM,,REFLECT,Indirect - Ecomm,Core,Reflect,AI Native,Reflect Ecomm,Reflect Ecomm,Reflect,Test Hub,Test Hub,Reflect,Reflect,Test Management,Reflect,Reflect Ecomm,Test Management
Reflect Direct,Direct,REFLECT DIRECT_DIRECT,,,,Direct,Core,Reflect,No,Reflect Direct,Reflect Direct,Reflect,Test Hub,Test Hub,Reflect,Reflect,Test Management,Reflect,Reflect Direct,Test Management
Reflect Ecomm,Ecomm,REFLECT ECOMM_ECOMM,,,,Indirect - Ecomm,Core,Reflect,No,Reflect Ecomm,Reflect Ecomm,Reflect,Test Hub,Test Hub,Reflect,Reflect,Test Management,Reflect,Reflect Ecomm,Test Management
Squad,Ecomm,SQUAD_ECOMM,ZEPHYR SQUAD,,,Indirect - Atlassian,Core,Atlassian,No,Zephyr Squad,Zephyr Squad,Zephyr Squad,Marketplace,Test Management,Zephyr Squad,Zephyr Squad,Test Management,Zephyr Squad,Zephyr Squad Ecomm,Test Management
Squad,Direct,SQUAD_DIRECT,ZEPHYR SQUAD,,,Indirect - Atlassian,Core,Atlassian,No,Zephyr Squad,Zephyr Squad,Zephyr Squad,Marketplace,Test Management,Zephyr Squad,Zephyr Squad,Test Management,Zephyr Squad,Zephyr Squad Ecomm,Test Management
Stoplight,Direct,STOPLIGHT_DIRECT,STOPLIGHT DIRECT,STOPLIGHT,STOPLIGHT,Direct,Core,Swagger,No,Stoplight,Stoplight Direct,Stoplight,API,API Hub,Stoplight,Stoplight,API Lifecycle,Stoplight,Stoplight Direct,API Lifecycle
Stoplight,Ecomm,STOPLIGHT_ECOMM,STOPLIGHT ECOMM,,STOPLIGHT,Indirect - Ecomm,Core,Swagger,No,Stoplight,Stoplight Ecomm,Stoplight,API,API Hub,Stoplight,Stoplight,API Lifecycle,Stoplight,Stoplight Ecomm,API Lifecycle
Stoplight Direct,Direct,STOPLIGHT DIRECT_DIRECT,,,,Direct,Core,Swagger,No,Stoplight,Stoplight Direct,Stoplight,API,API Hub,Stoplight,Stoplight,API Lifecycle,Stoplight,Stoplight Direct,API Lifecycle
Stoplight Ecomm,Ecomm,STOPLIGHT ECOMM_ECOMM,,,,Indirect - Ecomm,Core,Swagger,No,Stoplight,Stoplight Ecomm,Stoplight,API,API Hub,Stoplight,Stoplight,API Lifecycle,Stoplight,Stoplight Ecomm,API Lifecycle
Swagger,Direct,SWAGGER_DIRECT,SWAGGER,SWAGGER,SWAGGERHUB,Direct,Core,Swagger,AI Enabled,Swagger Direct,Swagger Direct,Swagger,API,API Hub,Swagger,Swagger,API Lifecycle,Swagger,Swagger Direct,API Lifecycle
Swagger,Ecomm,SWAGGER_ECOMM,SWAGGER,,SWAGGERHUB,Indirect - Ecomm,Core,Swagger,AI Enabled,Swagger Ecomm,Swagger Ecomm,Swagger,API,API Hub,Swagger,Swagger,API Lifecycle,Swagger,Swagger Ecomm,API Lifecycle
Test,Ecomm,TEST_ECOMM,TEST_ECOMM,,,Indirect - Ecomm,Core,Swagger,No,Swagger Ecomm,Swagger Ecomm,Swagger,API,API Hub,API Hub,Swagger,API Lifecycle,Swagger,Swagger Ecomm,API Lifecycle
Test,Direct,TEST_DIRECT,TEST_DIRECT,,,Direct,Core,Swagger,No,API Hub Test Direct,API Hub Test,API Hub Test,API,API Hub,API Hub,API Hub Test,API Lifecycle,API Hub Test,API Hub Test Direct,API Lifecycle
TestComplete,Direct,TESTCOMPLETE_DIRECT,TESTCOMPLETE,TESTCOMPLETE,TESTCOMPLETE,Direct,Core,TestComplete,No,TestComplete,TestComplete,TestComplete,Test Hub,Test Hub,TestComplete,TestComplete,Functional Test,TestComplete,TestComplete Direct,Functional Test
TestEngine,Direct,TESTENGINE_DIRECT,TESTENGINE,,,Direct,Core,ReadyAPI,No,ReadyAPI Test,ReadyAPI Test,RAPI Test,API,Ready API,TestEngine,ReadyAPI Test,API Lifecycle,ReadyAPI Test,ReadyAPI Test Direct,API Lifecycle
TestServer,Direct,TESTSERVER_DIRECT,TESTSERVER,,,Direct,Core,ReadyAPI,No,TestComplete,TestComplete,TestServer,Test Hub,Test Hub,TestServer,TestComplete,Functional Test,TestComplete,TestComplete Direct,API Lifecycle
VisualTest,Direct,VISUALTEST_DIRECT,VISUALTEST,,VISUALTEST,Direct,Core,TestComplete,No,TestComplete,TestComplete,TestComplete,Test Hub,Test Hub,TestComplete,TestComplete,Functional Test,TestComplete,TestComplete Direct,Test Management
VisualTest,Ecomm,VISUALTEST_ECOMM,VISUALTEST,,,Indirect - Ecomm,Core,TestComplete,No,TestComplete,TestComplete,TestComplete,Test Hub,Test Hub,TestComplete,TestComplete,Functional Test,TestComplete,TestComplete Ecomm,Test Management
Zephyr E,Direct,ZEPHYR E_DIRECT,ZEPHYR E,ZEPHYR ENTERPRISE,ZEPHYR ENTERPRISE,Direct,Core,Test Management,No,Zephyr E,Zephyr E,Zephyr E,Test,Test Management,Zephyr E,Zephyr E,Test Management,Zephyr E,Zephyr E Direct,Test Management
Zephyr Scale,Ecomm,ZEPHYR SCALE_ECOMM,ZEPHYR SCALE,,ZEPHYR SCALE,Indirect - Atlassian,Core,Atlassian,AI Enabled,Zephyr Scale,Zephyr Scale,Zephyr Scale,Marketplace,Test Management,Zephyr Scale,Zephyr Scale,Test Management,Zephyr Scale,Zephyr Scale Ecomm,Test Management
Zephyr Scale Automate,Ecomm,ZEPHYR SCALE AUTOMATE_ECOMM,ZEPHYR SCALE AUTOMATE,,ZEPHYR AUTOMATE,Indirect - Atlassian,Core,Atlassian,AI Enabled,Zephyr Advanced,Zephyr Advanced,Zephyr Advanced,Marketplace,Test Management,Zephyr Advanced,Zephyr Advanced,Test Management,Zephyr Advanced,Zephyr Advanced Ecomm,Test Management
Zephyr Squad,Ecomm,ZEPHYR SQUAD_ECOMM,ZEPHYR SQUAD,,ZEPHYR SQUAD,Indirect - Atlassian,Core,Atlassian,AI Enabled,Zephyr Squad,Zephyr Squad,Zephyr Squad,Marketplace,Test Management,Zephyr Squad,Zephyr Squad,Test Management,Zephyr Squad,Zephyr Squad Ecomm,Test Management
Zephyr Advanced,Ecomm,ZEPHYR ADVANCED_ECOMM,,,,Indirect - Atlassian,Core,Atlassian,AI Native,Zephyr Advanced,Zephyr Advanced,Zephyr Advanced,Marketplace,Test Management,Zephyr Advanced,Zephyr Advanced,Test Management,Zephyr Advanced,Zephyr Advanced Ecomm,Test Management
